Food Item,Serving Size,Calories,Total Fat,Total Carb,Sat Fat,Dietary Fiber,Trans Fat,Sugar,Cholesterol,Protein,Sodium,Dietary Restrictions
Organic French Roast Coffee,8 ozl,0,0g,0g,0g,0g,0g,0g,0mg,0g,7.4mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Passion Orange Guava Juice,8 ozl,108,0g,27.6g,0g,0g,0g,26.6g,0mg,0g,15.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Pepsi,8 ozl,101,0g,27.5g,0g,0g,0g,27.5g,0mg,0g,26.1mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Pepsi Zero,8 ozl,0,0g,0g,0g,0g,0g,0g,0mg,0g,49.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Pink Lemonade,8 ozl,101,0g,26.9g,0g,0g,0g,26.9g,0mg,0g,106.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Plain Soy Milk,8 ozl,95,3.8g,7.6g,0.5g,0g,0g,5.7g,0mg,6.6g,113.4mg,"Vegan, Soy, Gluten Friendly, Vegetarian, Halal"
Raspberry Bubly Water,8 ozl,0,0g,0g,0g,0g,0g,0g,0mg,0g,46.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Root Beer,8 ozl,94,0g,25.5g,0g,0g,0g,25.5g,0mg,0g,42.9mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Starry,8 ozl,101,0g,26.2g,0g,0g,0g,26.2g,0mg,0g,29.4mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Vanilla Soy Milk,8 ozl,95,3.3g,9.5g,0.5g,0g,0g,6.6g,0mg,5.7g,94.5mg,"Vegan, Soy, Gluten Friendly, Vegetarian, Halal"
Whole Milk,8 ozl,145,7.7g,11.4g,4.4g,0g,0.2g,11.4g,23.7mg,7.5g,101.9mg,"Vegetarian, Milk, Gluten Friendly, Halal"
